Node,forT,P,Q
1280,90,-0.2874256215,0.0000000000
1280,91,-0.2913201400,0.0000000000
1280,92,-0.3014603784,0.0000000000
1281,89,0.2031754048,0.0000000000
1281,90,0.2106056478,0.0000000000
1281,91,0.2132574494,0.0000000000
1281,92,0.2165290397,0.0000000000
1282,89,-0.2812586134,0.0000000000
1282,90,-0.2712544611,0.0000000000
1282,91,-0.2670395935,0.0000000000
1282,92,-0.2617590018,0.0000000000
1283,89,0.3333659127,0.0000000000
1283,90,0.3340121888,0.0000000000
1283,91,0.3345813404,0.0000000000
1283,92,0.3351033510,0.0000000000
1284,89,0.1746339370,0.0000000000
1284,90,0.1780963327,0.0000000000
1284,91,0.1845795366,0.0000000000
1284,92,0.1942862179,0.0000000000
1285,89,0.1567514309,0.0000000000
1285,90,0.1267182143,0.0000000000
1285,91,0.1144531233,0.0000000000
1285,92,0.1220972131,0.0000000000
1286,89,0.3200424362,0.0000000000
1286,90,0.3209641412,0.0000000000
1286,91,0.3218960101,0.0000000000
1286,92,0.3228235108,0.0000000000
1287,89,0.3498899757,0.0000000000
1287,90,0.3499082851,0.0000000000
1287,91,0.3499262272,0.0000000000
1287,92,0.3499428411,0.0000000000
1288,89,0.2700452484,0.0000000000
1288,90,0.2708014419,0.0000000000
1288,91,0.2711908679,0.0000000000
1288,92,0.2710311554,0.0000000000
1289,89,0.2687149663,0.0000000000
1289,90,0.2767719212,0.0000000000
1289,91,0.2855133549,0.0000000000
1289,92,0.2949942973,0.0000000000
1290,89,0.3269448167,0.0000000000
1290,90,0.3266283764,0.0000000000
1290,91,0.3263537932,0.0000000000
1290,92,0.3261275276,0.0000000000
1291,89,-0.2052821901,0.0000000000
1291,90,-0.4265875677,0.0000000000
1291,91,-0.5329587825,0.0000000000
1291,92,-0.4771341411,0.0000000000
1292,89,0.3499963971,0.0000000000
1292,90,0.3499963971,0.0000000000
1292,91,0.3499963971,0.0000000000
1292,92,0.3499963971,0.0000000000
1293,89,0.2827565813,0.0000000000
1293,90,0.2846502542,0.0000000000
1293,91,0.2864087853,0.0000000000
1293,92,0.2880140839,0.0000000000
1294,89,0.3117299598,0.0000000000
1294,90,0.3142611037,0.0000000000
1294,91,0.3148784032,0.0000000000
1294,92,0.3154554954,0.0000000000
1295,89,0.0327465573,0.0000000000
1295,90,0.0500103821,0.0000000000
1295,91,0.0677424824,0.0000000000
1295,92,0.0873481945,0.0000000000
1296,89,0.3370362251,0.0000000000
1296,90,0.3372212823,0.0000000000
1296,91,0.3374492858,0.0000000000
1296,92,0.3377826541,0.0000000000
1297,89,-0.1226758127,0.0000000000
1297,90,-0.1561526047,0.0000000000
1297,91,-0.2104311592,0.0000000000
1297,92,-0.2939497354,0.0000000000
1298,89,-0.2651575469,0.0000000000
1298,90,-0.2469791249,0.0000000000
1298,91,-0.2311361899,0.0000000000
1298,92,-0.2167829951,0.0000000000
1299,89,0.2846558435,0.0000000000
1299,90,0.2840951715,0.0000000000
1299,91,0.2844620511,0.0000000000
1299,92,0.2858371362,0.0000000000
1300,89,0.3349764720,0.0000000000
1300,90,0.3350648329,0.0000000000
1300,91,0.3350803016,0.0000000000
1300,92,0.3349226007,0.0000000000
1301,89,0.3245866686,0.0000000000
1301,90,0.3253603408,0.0000000000
1301,91,0.3260940641,0.0000000000
1301,92,0.3268104513,0.0000000000
1302,89,-0.2488307481,0.0000000000
