Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,AlphaOmegaSet,NoNewAct,solution
10060018,131,415,467,3,0,-3,-0.347017297,-3,0,1,0,0,4.20E-09
10060018,131,416,468,4,0,-3,-0.412020429,-3,0,1,0,0,3.49E-09
10060019,132,417,469,1,0,-3,-0.568334505,-3,0,1,0,0,2.55E-09
10060019,132,418,470,2,0,-3,-0.621244631,-3,0,1,0,0,2.36E-09
10060019,132,419,471,3,0,-3,-0.702144924,-3,0,1,0,0,2.09E-09
10060019,132,420,472,4,0,-3,-0.833670413,-3,0,1,0,0,1.77E-09
10060020,133,421,473,1,0,-4.7,-0.290625736,-4.7,0,1,0,0,5.27E-09
10060020,133,421,474,1,-0.290625736,-3,-0.33640958,-3,0,1,0,0,3.88E-08
10060020,133,422,475,2,0,-4.7,-0.317682063,-4.7,0,1,0,0,4.86E-09
10060020,133,422,476,2,-0.317682063,-3,-0.367728236,-3,0,1,0,0,3.54E-08
10060020,133,423,477,3,0,-4.7,-0.359051551,-4.7,0,1,0,0,4.26E-09
10060020,133,423,478,3,-0.359051551,-3,-0.415614883,-3,0,1,0,0,3.06E-08
10060020,133,424,479,4,0,-4.7,-0.426308935,-4.7,0,1,0,0,3.54E-09
10060020,133,424,480,4,-0.426308935,-3,-0.493467686,-3,0,1,0,0,2.53E-08
10060021,134,425,481,1,0,-3,-0.053895812,-3,0,1,0,0,3.19E-08
10060021,134,426,482,2,0,-3,-0.05891334,-3,0,1,0,0,2.91E-08
10060021,134,427,483,3,0,-3,-0.066585208,-3,0,1,0,0,2.63E-08
10060021,134,428,484,4,0,-3,-0.079057921,-3,0,1,0,0,2.08E-08
10060022,135,429,485,1,0,-3,-0.11084258,-3,0,1,0,0,1.43E-08
10060022,135,430,486,2,0,-3,-0.121161669,-3,0,1,0,0,1.31E-08
10060022,135,431,487,3,0,-3,-0.136939696,-3,0,1,0,0,1.15E-08
10060022,135,432,488,4,0,-3,-0.162591182,-3,0,1,0,0,9.24E-09
10060023,136,433,489,1,0,-4.7,-0.291994626,-4.7,0,1,0,0,5.20E-09
10060023,136,433,490,1,-0.291994626,-3,-0.582045402,-3,0,1,0,0,5.08E-09
10060023,136,434,491,2,0,-4.7,-0.319178392,-4.7,0,1,0,0,4.81E-09
10060023,136,434,492,2,-0.319178392,-3,-0.636231968,-3,0,1,0,0,4.70E-09
10060023,136,435,493,3,0,-4.7,-0.360742736,-4.7,0,1,0,0,4.21E-09
10060023,136,435,494,3,-0.360742736,-3,-0.719083957,-3,0,1,0,0,4.11E-09
10060023,136,436,495,4,0,-4.7,-0.428316911,-4.7,0,1,0,0,3.46E-09
10060023,136,436,496,4,-0.428316911,-3,-0.853782458,-3,0,1,0,0,3.38E-09
10060024,137,437,497,1,0,-3,-0.179275057,-3,0,1,0,0,8.42E-09
10060024,137,438,498,2,0,-3,-0.195964992,-3,0,1,0,0,7.77E-09
10060024,137,439,499,3,0,-3,-0.221484127,-3,0,1,0,0,6.78E-09
10060024,137,440,500,4,0,-3,-0.262972439,-3,0,1,0,0,5.50E-09
10060028,138,441,501,1,0,-3,-0.338749836,-3,0,1,0,0,4.34E-09
10060028,138,442,502,2,0,-3,-0.370286363,-3,0,1,0,0,3.99E-09
10060028,138,443,503,3,0,-3,-0.418506136,-3,0,1,0,0,3.62E-09
10060028,138,444,504,4,0,-3,-0.496900528,-3,0,1,0,0,3.18E-09
10060029,139,445,505,1,0,-3,-0.054108649,-3,0,1,0,0,3.29E-08
10060029,139,446,506,2,0,-3,-0.059145992,-3,0,1,0,0,2.95E-08
10060029,139,447,507,3,0,-3,-0.066848156,-3,0,1,0,0,2.60E-08
10060029,139,448,508,4,0,-3,-0.079370124,-3,0,1,0,0,2.15E-08
10060030,140,449,509,1,0,-3,-0.098170145,-3,0,1,0,0,1.69E-08
10060030,140,450,510,2,0,-3,-0.107309472,-3,0,1,0,0,1.51E-08
10060030,140,451,511,3,0,-3,-0.121283626,-3,0,1,0,0,1.32E-08
10060030,140,452,512,4,0,-3,-0.144002423,-3,0,1,0,0,1.19E-08
10060031,141,453,513,1,0,-3,-0.224422619,-3,0,1,0,0,6.42E-09
10060031,141,454,514,2,0,-3,-0.245315647,-3,0,1,0,0,5.88E-09
10060031,141,455,515,3,0,-3,-0.277261369,-3,0,1,0,0,5.09E-09
10060031,141,456,516,4,0,-3,-0.32919785,-3,0,1,0,0,4.06E-09
